"scalar_flux","subdomain","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.981,0,1,3.56,3.56,8,0
9.9813,0,1,3.57,3.57,8,0
9.9817,0,1,3.58,3.58,8,0
9.982,0,1,3.59,3.59,8,0
9.9823,0,1,3.6,3.6,8,0
9.9826,0,1,3.61,3.61,8,0
9.9829,0,1,3.62,3.62,8,0
9.9832,0,1,3.63,3.63,8,0
9.9834,0,1,3.64,3.64,8,0
9.9837,0,1,3.65,3.65,8,0
9.984,0,1,3.66,3.66,8,0
9.9842,0,1,3.67,3.67,8,0
9.9845,0,1,3.68,3.68,8,0
9.9848,0,1,3.69,3.69,8,0
9.985,0,1,3.7,3.7,8,0
9.9853,0,1,3.71,3.71,8,0
9.9856,0,1,3.72,3.72,8,0
9.9859,0,1,3.73,3.73,8,0
9.9861,0,1,3.74,3.74,8,0
9.9864,0,1,3.75,3.75,8,0
9.9866,0,1,3.76,3.76,8,0
9.9868,0,1,3.77,3.77,8,0
9.987,0,1,3.78,3.78,8,0
9.9872,0,1,3.79,3.79,8,0
9.9874,0,1,3.8,3.8,8,0
9.9876,0,1,3.81,3.81,8,0
9.9878,0,1,3.82,3.82,8,0
9.9881,0,1,3.83,3.83,8,0
9.9883,0,1,3.84,3.84,8,0
9.9885,0,1,3.85,3.85,8,0
9.9887,0,1,3.86,3.86,8,0
9.9889,0,1,3.87,3.87,8,0
9.9891,0,1,3.88,3.88,8,0
9.9893,0,1,3.89,3.89,8,0
9.9895,0,1,3.9,3.9,8,0
9.9897,0,1,3.91,3.91,8,0
9.9898,0,1,3.92,3.92,8,0
9.99,0,1,3.93,3.93,8,0
9.9902,0,1,3.94,3.94,8,0
9.9903,0,1,3.95,3.95,8,0
9.9905,0,1,3.96,3.96,8,0
9.9906,0,1,3.97,3.97,8,0
9.9908,0,1,3.98,3.98,8,0
9.9909,0,1,3.99,3.99,8,0
9.9911,0,1,4,4,8,0
9.9913,0,1,4.01,4.01,8,0
9.9914,0,1,4.02,4.02,8,0
9.9916,0,1,4.03,4.03,8,0
9.9917,0,1,4.04,4.04,8,0
9.9919,0,1,4.05,4.05,8,0
9.992,0,1,4.06,4.06,8,0
9.9922,0,1,4.07,4.07,8,0
9.9923,0,1,4.08,4.08,8,0
9.9924,0,1,4.09,4.09,8,0
9.9925,0,1,4.1,4.1,8,0
9.9927,0,1,4.11,4.11,8,0
9.9928,0,1,4.12,4.12,8,0
9.9929,0,1,4.13,4.13,8,0
9.993,0,1,4.14,4.14,8,0
9.9931,0,1,4.15,4.15,8,0
9.9933,0,1,4.16,4.16,8,0
9.9934,0,1,4.17,4.17,8,0
9.9935,0,1,4.18,4.18,8,0
9.9936,0,1,4.19,4.19,8,0
9.9937,0,1,4.2,4.2,8,0
9.9939,0,1,4.21,4.21,8,0
9.994,0,1,4.22,4.22,8,0
9.9941,0,1,4.23,4.23,8,0
9.9942,0,1,4.24,4.24,8,0
9.9942,0,1,4.25,4.25,8,0
9.9943,0,1,4.26,4.26,8,0
9.9944,0,1,4.27,4.27,8,0
9.9945,0,1,4.28,4.28,8,0
9.9946,0,1,4.29,4.29,8,0
9.9947,0,1,4.3,4.3,8,0
9.9948,0,1,4.31,4.31,8,0
9.9949,0,1,4.32,4.32,8,0
9.995,0,1,4.33,4.33,8,0
9.9951,0,1,4.34,4.34,8,0
9.9952,0,1,4.35,4.35,8,0
9.9953,0,1,4.36,4.36,8,0
9.9953,0,1,4.37,4.37,8,0
9.9954,0,1,4.38,4.38,8,0
9.9955,0,1,4.39,4.39,8,0
9.9956,0,1,4.4,4.4,8,0
9.9956,0,1,4.41,4.41,8,0
9.9957,0,1,4.42,4.42,8,0
9.9958,0,1,4.43,4.43,8,0
9.9958,0,1,4.44,4.44,8,0
9.9959,0,1,4.45,4.45,8,0
9.996,0,1,4.46,4.46,8,0
9.9961,0,1,4.47,4.47,8,0
9.9961,0,1,4.48,4.48,8,0
9.9962,0,1,4.49,4.49,8,0
9.9963,0,1,4.5,4.5,8,0
9.9963,0,1,4.51,4.51,8,0
9.9964,0,1,4.52,4.52,8,0
9.9965,0,1,4.53,4.53,8,0
9.9965,0,1,4.54,4.54,8,0
9.9966,0,1,4.55,4.55,8,0
9.9966,0,1,4.56,4.56,8,0
9.9967,0,1,4.57,4.57,8,0
9.9967,0,1,4.58,4.58,8,0
9.9968,0,1,4.59,4.59,8,0
9.9969,0,1,4.6,4.6,8,0
9.9969,0,1,4.61,4.61,8,0
9.997,0,1,4.62,4.62,8,0
9.997,0,1,4.63,4.63,8,0
9.9971,0,1,4.64,4.64,8,0
9.9971,0,1,4.65,4.65,8,0
9.9972,0,1,4.66,4.66,8,0
9.9972,0,1,4.67,4.67,8,0
9.9973,0,1,4.68,4.68,8,0
9.9973,0,1,4.69,4.69,8,0
9.9974,0,1,4.7,4.7,8,0
9.9974,0,1,4.71,4.71,8,0
9.9974,0,1,4.72,4.72,8,0
9.9975,0,1,4.73,4.73,8,0
9.9975,0,1,4.74,4.74,8,0
9.9976,0,1,4.75,4.75,8,0
9.9976,0,1,4.76,4.76,8,0
9.9977,0,1,4.77,4.77,8,0
9.9977,0,1,4.78,4.78,8,0
9.9977,0,1,4.79,4.79,8,0
9.9978,0,1,4.8,4.8,8,0
9.9978,0,1,4.81,4.81,8,0
9.9979,0,1,4.82,4.82,8,0
9.9979,0,1,4.83,4.83,8,0
9.9979,0,1,4.84,4.84,8,0
9.998,0,1,4.85,4.85,8,0
9.998,0,1,4.86,4.86,8,0
9.998,0,1,4.87,4.87,8,0
9.9981,0,1,4.88,4.88,8,0
9.9981,0,1,4.89,4.89,8,0
9.9981,0,1,4.9,4.9,8,0
9.9982,0,1,4.91,4.91,8,0
9.9982,0,1,4.92,4.92,8,0
9.9982,0,1,4.93,4.93,8,0
9.9982,0,1,4.94,4.94,8,0
9.9983,0,1,4.95,4.95,8,0
9.9983,0,1,4.96,4.96,8,0
9.9983,0,1,4.97,4.97,8,0
9.9984,0,1,4.98,4.98,8,0
9.9984,0,1,4.99,4.99,8,0
9.9984,0,1,5,5,8,0
9.9985,0,1,5.01,5.01,8,0
9.9985,0,1,5.02,5.02,8,0
9.9985,0,1,5.03,5.03,8,0
9.9985,0,1,5.04,5.04,8,0
9.9986,0,1,5.05,5.05,8,0
9.9986,0,1,5.06,5.06,8,0
9.9986,0,1,5.07,5.07,8,0
9.9986,0,1,5.08,5.08,8,0
9.9986,0,1,5.09,5.09,8,0
9.9987,0,1,5.1,5.1,8,0
9.9987,0,1,5.11,5.11,8,0
9.9987,0,1,5.12,5.12,8,0
9.9987,0,1,5.13,5.13,8,0
9.9988,0,1,5.14,5.14,8,0
9.9988,0,1,5.15,5.15,8,0
9.9988,0,1,5.16,5.16,8,0
9.9988,0,1,5.17,5.17,8,0
9.9988,0,1,5.18,5.18,8,0
9.9989,0,1,5.19,5.19,8,0
9.9989,0,1,5.2,5.2,8,0
9.9989,0,1,5.21,5.21,8,0
9.9989,0,1,5.22,5.22,8,0
9.9989,0,1,5.23,5.23,8,0
9.999,0,1,5.24,5.24,8,0
9.999,0,1,5.25,5.25,8,0
9.999,0,1,5.26,5.26,8,0
9.999,0,1,5.27,5.27,8,0
9.999,0,1,5.28,5.28,8,0
9.999,0,1,5.29,5.29,8,0
9.9991,0,1,5.3,5.3,8,0
9.9991,0,1,5.31,5.31,8,0
9.9991,0,1,5.32,5.32,8,0
9.9991,0,1,5.33,5.33,8,0
